Time (ns),spi_master_tb.dut.clk_counter
22790000,b1111011
22810000,b1111100
22830000,b1111101
22850000,b1111110
22870000,b1111111
22890000,b10000000
22910000,b10000001
22930000,b10000010
22950000,b10000011
22970000,b10000100
22990000,b10000101
23010000,b10000110
23030000,b10000111
23050000,b10001000
23070000,b10001001
23090000,b10001010
23110000,b10001011
23130000,b10001100
23150000,b10001101
23170000,b10001110
23190000,b10001111
23210000,b10010000
23230000,b10010001
23250000,b10010010
23270000,b10010011
23290000,b10010100
23310000,b10010101
23330000,b10010110
23350000,b10010111
23370000,b10011000
23390000,b10011001
23410000,b10011010
23430000,b10011011
23450000,b10011100
23470000,b10011101
23490000,b10011110
23510000,b10011111
23530000,b10100000
23550000,b10100001
23570000,b10100010
23590000,b10100011
23610000,b10100100
23630000,b10100101
23650000,b10100110
23670000,b10100111
23690000,b10101000
23710000,b10101001
23730000,b10101010
23750000,b10101011
23770000,b10101100
23790000,b10101101
23810000,b10101110
23830000,b10101111
23850000,b10110000
23870000,b10110001
23890000,b10110010
23910000,b10110011
23930000,b10110100
23950000,b10110101
23970000,b10110110
23990000,b10110111
24010000,b10111000
24030000,b10111001
24050000,b10111010
24070000,b10111011
24090000,b10111100
24110000,b10111101
24130000,b10111110
24150000,b10111111
24170000,b11000000
24190000,b11000001
24210000,b11000010
24230000,b11000011
24250000,b11000100
24270000,b11000101
24290000,b11000110
24310000,b11000111
24330000,b11001000
24350000,b11001001
24370000,b11001010
24390000,b11001011
24410000,b11001100
24430000,b11001101
24450000,b11001110
24470000,b11001111
24490000,b11010000
24510000,b11010001
24530000,b11010010
24550000,b11010011
24570000,b11010100
24590000,b11010101
24610000,b11010110
24630000,b11010111
24650000,b11011000
24670000,b11011001
24690000,b11011010
24710000,b11011011
24730000,b11011100
24750000,b11011101
24770000,b11011110
24790000,b11011111
24810000,b11100000
24830000,b11100001
24850000,b11100010
24870000,b11100011
24890000,b11100100
24910000,b11100101
24930000,b11100110
24950000,b11100111
24970000,b11101000
24990000,b11101001
25010000,b11101010
25030000,b11101011
25050000,b11101100
25070000,b11101101
25090000,b11101110
25110000,b11101111
25130000,b11110000
25150000,b11110001
25170000,b11110010
25190000,b11110011
25210000,b11110100
25230000,b11110101
25250000,b11110110
25270000,b11110111
25290000,b11111000
25310000,b11111001
25330000,b0
25350000,b1
25370000,b10
25390000,b11
25410000,b100
25430000,b101
25450000,b110
25470000,b111
25490000,b1000
25510000,b1001
25530000,b1010
25550000,b1011
25570000,b1100
25590000,b1101
25610000,b1110
25630000,b1111
25650000,b10000
25670000,b10001
25690000,b10010
25710000,b10011
25730000,b10100
25750000,b10101
25770000,b10110
25790000,b10111
25810000,b11000
25830000,b11001
25850000,b11010
25870000,b11011
25890000,b11100
25910000,b11101
25930000,b11110
25950000,b11111
25970000,b100000
25990000,b100001
26010000,b100010
26030000,b100011
26050000,b100100
26070000,b100101
26090000,b100110
26110000,b100111
26130000,b101000
26150000,b101001
26170000,b101010
26190000,b101011
26210000,b101100
26230000,b101101
26250000,b101110
26270000,b101111
26290000,b110000
26310000,b110001
26330000,b110010
26350000,b110011
26370000,b110100
26390000,b110101
26410000,b110110
26430000,b110111
26450000,b111000
26470000,b111001
26490000,b111010
26510000,b111011
26530000,b111100
26550000,b111101
26570000,b111110
26590000,b111111
26610000,b1000000
26630000,b1000001
26650000,b1000010
26670000,b1000011
26690000,b1000100
26710000,b1000101
26730000,b1000110
26750000,b1000111
26770000,b1001000
26790000,b1001001
26810000,b1001010
26830000,b1001011
26850000,b1001100
26870000,b1001101
26890000,b1001110
26910000,b1001111
26930000,b1010000
26950000,b1010001
